restaurant_id,name,days_in_advance,primary_cuisine,secondary_cuisines,primary_dining_style,secondary_dining_styles,facilities,primary_place,places,hashtags,weighted_rating_score,total_revenue,total_bookings,total_guests,total_no_shows,total_temporary_bookings,avg_revenue_per_booking,no_show_rate,kol_views,kol_likes,kol_comments,unique_kols_used,web_views,web_revenue,restaurant_name_en,restaurant_name_th,extracted_location,kol_engagement_rate
33.0,Audrey Cafe Thonglor Soi 11,90.0,fusion,"italian, international, thai, fusion, european",casual dining,"family friendly, cafe/dessert, chain restaurant, casual dining","private room up to 10 people, have parking, indoor seating, accommodates 50+ people",awardbadge:red table award,popularzone:thonglor,"top 10 restaurant bkk (ca), time to celebrate, celebration redtable awards 2025, famous restaurants, top 10 restaurant bkk (indo), amex, birthday celebration, best selling weekday, hottest promotion, redtable 2024 award winner, italian cafes/desserts with free wifi under 350 baht, pizza",4.758810157320353,186954192.0,8458.0,30518.0,83.0,110.0,22103.829746985102,0.009813194608654529,3552.0,60.0,4.0,1.0,625.0,0.0,Audrey Cafe Thonglor Soi 11,ออเดรย์ คาเฟ่ ทองหล่อ ซ.11,Thai Isaan,0.018018018018018018
34.0,,,,,,,,,,,,4753680.0,181.0,479.0,2.0,10.0,26263.42541436464,0.011049723756906077,0.0,0.0,0.0,0.0,0.0,0.0,Rang Mahal Rooftop at Rembrandt Hotel,ราง มาฮาล รูฟท็อป,Indian,0.0
168.0,Attico Cucina Italiana Radisson Blu Plaza Bangkok,60.0,italian,Unknown,hotel restaurant,"family friendly, open air/outdoor, casual dining, hotel restaurant","private room up to 10 people, accommodates 50+ people, wheelchair access, indoor seating",popularzone:asok,popularzone:asok,pizza,4.896558798665628,8298300.0,313.0,797.0,4.0,0.0,26512.140575079873,0.012779552715654952,0.0,0.0,0.0,0.0,12.0,0.0,Attico Cucina Italiana Radisson Blu Plaza Bangkok,แอทติโก้ โรงแรม เรดิสัน บลู พลาซ่า กรุงเทพฯ,Fusion,0.0
220.0,The Living Room at Sheraton Grande Sukhumvit A Luxury Collection Hotel,30.0,international,Unknown,hotel buffet,"family friendly, hotel buffet, hotel restaurant","live music, indoor seating, have parking, have baby chair",btsroute:bts asok,"btsroute:bts asok, popularzone:asok","buffet brunch sheraton grande sukhumvit, time to celebrate, christmas & new year deal",4.867847927328657,18577420.0,326.0,1140.0,2.0,21.0,56985.9509202454,0.006134969325153374,0.0,0.0,0.0,1.0,113.0,0.0,The Living Room at Sheraton Grande Sukhumvit A Luxury Collection Hotel,The Living Room at Sheraton Grande Sukhumvit A Luxury Collection Hotel,Thai,0.0
222.0,Rain Tree Cafe at The Athenee Hotel,90.0,international,"thai, japanese, european, fusion, international, chinese",hotel buffet,"buffet, hotel restaurant, family friendly, casual dining, hotel buffet","free wifi, have parking, wheelchair access, accommodates 50+ people, indoor seating, accommodates 120+ people, accommodates 80+ people",awardbadge:red table award,"btsroute:bts chit lom, popularzone:ploenchit, popularzone:chidlom, btsroute:bts ratchadamri, btsroute:bts phloen chit, popularzone:nana, btsroute:bts nana, popularzone:ratchaprasong, popularzone:pratunaam, popularzone:rajdamri","you&i, top sales hotel restaurants, best selling weekday, redtable 2024 award winner, hotel buffet recommended, weekend best selling, buffet mania, big group dining, must visit bkk 2025 for hongkong tourists, famous restaurants, birthday celebration, sunday brunch, good for big group, 5 must-try buffet restaurants, amex, haimunroopai, must visit bkk 2025 for korean tourists",4.733127177268646,535476262.0,10415.0,48193.0,79.0,146.0,51413.94738358137,0.007585213634181469,0.0,0.0,0.0,0.0,1558.0,0.0,Rain Tree Cafe at The Athenee Hotel,เรน ทรี คาเฟ่ ดิ แอทธินี โฮเทล แบงค็อก,Thai Southern,0.0
238.0,,,,,,,,,,,,14890.0,2.0,3.0,0.0,0.0,7445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hungry Hub Test Booking 01,Hungry Hub Test Booking 01,Rama 3,0.0
257.0,,,,,,,,,,,,61455.0,2.0,5.0,0.0,0.0,30727.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Demo Accounts,Demo Accounts,Bangkok,0.0
273.0,Skyline at Avani+ Riverside Bangkok Hotel,90.0,international,"thai, american, indian, international, fusion",buffet,"hotel buffet, family friendly, buffet, casual dining, hotel restaurant","free wifi, indoor seating, accommodates 80+ people, accommodates 120+ people, accommodates 50+ people, halal",popularzone:thonburi,popularzone:thonburi,"top sales hotel restaurants, birthday celebration",4.596970101535327,23610220.0,517.0,1543.0,3.0,3.0,45667.736943907155,0.005802707930367505,0.0,0.0,0.0,0.0,681.0,0.0,Skyline at Avani+ Riverside Bangkok Hotel,สกายไลน์ โรงแรมอวานี พลัส ริเวอร์ไซด์ กรุงเทพฯ,International,0.0
280.0,Vertigo Rooftop Banyan Tree,240.0,international,"international, fusion, european, italian, french",rooftop,"open air/outdoor, fine dining, rooftop, hotel restaurant","have parking, free wifi, accommodates 50+ people, scenic view, outdoor seating, accommodates 80+ people, accommodates 120+ people, vegan/vegetarian friendly",popularzone:sathon,popularzone:sathon,"free-flow promotion, international fine dining accomodating 50+ people, best selling weekday, top sales hotel restaurants, famous restaurants, time to celebrate, top 10 restaurant bkk (us), celebrate love with us, top 10 restaurant bkk (uk), amex, must visit bkk 2025 for korean tourists, top 10 restaurant bkk (swe), birthday celebration, must visit bkk 2025 for hongkong tourists, top 10 restaurant bkk (india), top 10 restaurant bkk (kr), top 20 restaurants in thailand, celebration redtable awards 2025, redtable 2024 award winner",4.721652312112765,1349417435.0,19537.0,44873.0,129.0,422.0,69069.8385115422,0.00660285611915852,85142.0,1894.0,78.0,4.0,2388.0,0.0,Vertigo Rooftop Banyan Tree,เวอร์ทิโก้ รูฟท็อป โรงแรมบันยันทรี,Fusion,0.02316130699302342
370.0,Orchid Cafe at Sheraton Grande Sukhumvit A Luxury Collection Hotel,60.0,international,Unknown,hotel restaurant,"buffet, hotel restaurant","indoor seating, free wifi, have baby chair",btsroute:bts asok,"btsroute:bts asok, popularzone:asok","hottest promotion, must visit bkk 2025 for korean tourists, time to celebrate, christmas & new year deal, top 20 restaurants in thailand, celebration redtable awards 2025, top 10 restaurant bkk (jpn), come more pay less, big group dining, must visit bkk 2025 for hongkong tourists, buffet mania",4.731985934638655,267678610.0,8415.0,26212.0,267.0,195.0,31809.6981580511,0.031729055258467025,447.0,11.0,0.0,0.0,2953.0,0.0,Orchid Cafe at Sheraton Grande Sukhumvit A Luxury Collection Hotel,Orchid Cafe at Sheraton Grande Sukhumvit A Luxury Collection Hotel,Thai,0.024608501118568233
373.0,,,,,,,,,,,,17000.0,2.0,4.0,0.0,0.0,8500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Demo Basic Free Reservation,Demo Basic Free Reservation,Rajdamri,0.0
423.0,,,,,,,,,,,,124020204.0,7690.0,22598.0,44.0,133.0,16127.464759427829,0.005721716514954486,0.0,0.0,0.0,0.0,0.0,0.0,Audrey Cafe Siam Center,ออเดรย์ คาเฟ่ สยามเซ็นเตอร์,International,0.0
424.0,,,,,,,,,,,,25232540.0,1040.0,3778.0,29.0,18.0,24262.05769230769,0.027884615384615386,0.0,0.0,0.0,0.0,0.0,0.0,Audrey Cafe Central Embassy,ออเดรย์ คาเฟ่ เซ็นทรัลเอ็มบาสซี,International,0.0
425.0,Audrey Cafe EmQuartier,90.0,international,"international, fusion, thai, european, italian",casual dining,"family friendly, mall restaurant, cafe/dessert, chain restaurant, casual dining","free wifi, have parking, accommodates 50+ people, indoor seating, wheelchair access",shoppingmall:emquartier,"shoppingmall:emquartier, popularzone:phrom phong","redtable 2024 award winner, time to celebrate, top 10 restaurant bkk (indo), famous restaurants, italian cafes/desserts with free wifi under 350 baht, celebration redtable awards 2025, best selling weekday, amex, birthday celebration, come more pay less, hottest promotion, top 10 restaurant bkk (ca), pizza",4.67988071265887,168505324.0,10549.0,34565.0,106.0,154.0,15973.582709261542,0.010048345814769172,28608.0,455.0,22.0,1.0,1609.0,0.0,Audrey Cafe EmQuartier,ออเดรย์ คาเฟ่ เอ็มควอเทียร์,International,0.016673657718120804
426.0,Audrey Cafe Central Ladprao,90.0,fusion,"fusion, thai, international, european, italian",casual dining,"chain restaurant, mall restaurant, cafe/dessert, family friendly, casual dining","have parking, wheelchair access, indoor seating, free wifi, accommodates 50+ people",mrtroute:mrt phahon yothin,"shoppingmall:central ladprao, popularzone:ladprao, btsroute:bts ha yaek lat phrao, mrtroute:mrt phahon yothin, btsroute:bts siam","best selling weekday, celebration redtable awards 2025, redtable 2024 award winner, pizza, time to celebrate, famous restaurants, top 10 restaurant bkk (indo), italian cafes/desserts with free wifi under 350 baht, family friendly thai restaurants under 300 baht in ladprao, hottest promotion, birthday celebration, top 10 restaurant bkk (ca), amex",4.754571553240674,328537976.0,29742.0,75282.0,124.0,191.0,11046.263734785825,0.0041691883531706,0.0,0.0,0.0,0.0,117.0,0.0,Audrey Cafe Central Ladprao,ออเดรย์ คาเฟ่ เซ็นทรัล ลาดพร้าว,International,0.0
447.0,Up & Above Restaurant and Bar (Rooftop) at The Okura Prestige Bangkok,90.0,international,"european, thai, japanese, international, fusion",rooftop,"rooftop, hotel restaurant, buffet, family friendly, hotel buffet","have parking, wheelchair access, scenic view, indoor seating",popularzone:ploenchit,"btsroute:bts phloen chit, popularzone:chidlom, popularzone:ploenchit","sunday brunch, free-flow promotion",4.560193297199235,18010890.0,535.0,1356.0,9.0,14.0,33665.214953271025,0.016822429906542057,21710.0,1585.0,6.0,0.0,737.0,0.0,Up & Above Restaurant and Bar (Rooftop) at The Okura Prestige Bangkok,Up & Above Restaurant and Bar (Rooftop) at The Okura Prestige Bangkok,Japanese,0.07328420082911101
554.0,,,,,,,,,,,,7019766.0,403.0,1152.0,3.0,3.0,17418.774193548386,0.007444168734491315,0.0,0.0,0.0,0.0,0.0,0.0,Audrey Cafe Zpell Future Park Rangsit,ออเดรย์ คาเฟ่ สเปลล์ฟิวเจอร์ปาร์ค รังสิต,International,0.0
565.0,Bai Yun Banyan Tree Bangkok,90.0,chinese,Unknown,hotel restaurant,"hotel restaurant, casual dining, hotel buffet, buffet, family friendly","indoor seating, have baby chair, have parking, free wifi, scenic view, accommodates 50+ people, private room up to 20 people, accommodates 80+ people, vegan/vegetarian friendly",mrtroute:mrt lumphini,"popularzone:rajdamri, mrtroute:mrt si lom, btsroute:bts sala daeng, popularzone:sathon, mrtroute:mrt lumphini","buffet mania, celebration redtable awards 2025, time to celebrate, must visit bkk 2025 for hongkong tourists, best dim sum buffets in bangkok, christmas & new year deal, must visit bkk 2025 for korean tourists, amex, top sales hotel restaurants, top 20 restaurants in thailand, hottest promotion",4.56739930308247,128179000.0,3577.0,11870.0,85.0,65.0,35834.21861895443,0.023762929829466033,11967.0,479.0,2.0,1.0,2511.0,0.0,Bai Yun Banyan Tree Bangkok,ห้องอาหารไบยุนโรงแรมบันยันทรี,Italian,0.04019386646611515
598.0,Broccoli Revolution Sukhumvit 49,60.0,international,"thai, international, fusion",casual dining,"family friendly, cafe/dessert, casual dining","pet friendly, wheelchair access, indoor seating, have baby chair, free wifi, vegan/vegetarian friendly",btsroute:bts thong lor,"popularzone:thonglor, btsroute:bts thong lor","thai casual dining restaurants under 500 baht near bts phrom phong, bts thong lor, and bts ekkamai, vegan/vegetarian thai restaurants in phrom phong, asok, thonglor under 500 baht, thai vegan/vegetarian restaurants near phrom phong, asok, thonglor under 1000 baht",4.456308434695717,482880.0,38.0,109.0,0.0,0.0,12707.368421052632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Broccoli Revolution Sukhumvit 49,บรอกโคลี เรฟโวลูชั่น สุขุมวิท 49,Thai,0.0
