restaurant_id,name,days_in_advance,primary_cuisine,secondary_cuisines,primary_dining_style,secondary_dining_styles,facilities,primary_place,places,hashtags,weighted_rating_score,total_revenue,total_bookings,total_guests,total_no_shows,total_temporary_bookings,avg_revenue_per_booking,no_show_rate,kol_views,kol_likes,kol_comments,unique_kols_used,web_views,web_revenue
33.0,Audrey Cafe Thonglor Soi 11,90.0,fusion,"italian, international, thai, fusion, european",casual dining,"family friendly, cafe/dessert, chain restaurant, casual dining","private room up to 10 people, have parking, indoor seating, accommodates 50+ people",awardbadge:red table award,popularzone:thonglor,"top 10 restaurant bkk (ca), time to celebrate, celebration redtable awards 2025, famous restaurants, top 10 restaurant bkk (indo), amex, birthday celebration, best selling weekday, hottest promotion, redtable 2024 award winner, italian cafes/desserts with free wifi under 350 baht, pizza",4.758810157320353,186954192.0,8458.0,30518.0,83.0,110.0,22103.829746985102,0.009813194608654529,3552.0,60.0,4.0,1.0,625.0,0.0
34.0,,,,,,,,,,,,4753680.0,181.0,479.0,2.0,10.0,26263.42541436464,0.011049723756906077,0.0,0.0,0.0,0.0,0.0,0.0
168.0,Attico Cucina Italiana Radisson Blu Plaza Bangkok,60.0,italian,Unknown,hotel restaurant,"family friendly, open air/outdoor, casual dining, hotel restaurant","private room up to 10 people, accommodates 50+ people, wheelchair access, indoor seating",popularzone:asok,popularzone:asok,pizza,4.896558798665628,8298300.0,313.0,797.0,4.0,0.0,26512.140575079873,0.012779552715654952,0.0,0.0,0.0,0.0,12.0,0.0
220.0,The Living Room at Sheraton Grande Sukhumvit A Luxury Collection Hotel,30.0,international,Unknown,hotel buffet,"family friendly, hotel buffet, hotel restaurant","live music, indoor seating, have parking, have baby chair",btsroute:bts asok,"btsroute:bts asok, popularzone:asok","buffet brunch sheraton grande sukhumvit, time to celebrate, christmas & new year deal",4.867847927328657,18577420.0,326.0,1140.0,2.0,21.0,56985.9509202454,0.006134969325153374,0.0,0.0,0.0,1.0,113.0,0.0
222.0,Rain Tree Cafe at The Athenee Hotel,90.0,international,"thai, japanese, european, fusion, international, chinese",hotel buffet,"buffet, hotel restaurant, family friendly, casual dining, hotel buffet","free wifi, have parking, wheelchair access, accommodates 50+ people, indoor seating, accommodates 120+ people, accommodates 80+ people",awardbadge:red table award,"btsroute:bts chit lom, popularzone:ploenchit, popularzone:chidlom, btsroute:bts ratchadamri, btsroute:bts phloen chit, popularzone:nana, btsroute:bts nana, popularzone:ratchaprasong, popularzone:pratunaam, popularzone:rajdamri","you&i, top sales hotel restaurants, best selling weekday, redtable 2024 award winner, hotel buffet recommended, weekend best selling, buffet mania, big group dining, must visit bkk 2025 for hongkong tourists, famous restaurants, birthday celebration, sunday brunch, good for big group, 5 must-try buffet restaurants, amex, haimunroopai, must visit bkk 2025 for korean tourists",4.733127177268646,536063802.0,10418.0,48243.0,79.0,146.0,51455.53868304857,0.007583029372240353,0.0,0.0,0.0,0.0,1558.0,0.0
238.0,,,,,,,,,,,,14890.0,2.0,3.0,0.0,0.0,7445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257.0,,,,,,,,,,,,61455.0,2.0,5.0,0.0,0.0,30727.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273.0,Skyline at Avani+ Riverside Bangkok Hotel,90.0,international,"thai, american, indian, international, fusion",buffet,"hotel buffet, family friendly, buffet, casual dining, hotel restaurant","free wifi, indoor seating, accommodates 80+ people, accommodates 120+ people, accommodates 50+ people, halal",popularzone:thonburi,popularzone:thonburi,"top sales hotel restaurants, birthday celebration",4.596970101535327,23610220.0,517.0,1543.0,3.0,3.0,45667.736943907155,0.005802707930367505,0.0,0.0,0.0,0.0,681.0,0.0
280.0,Vertigo Rooftop Banyan Tree,240.0,international,"international, fusion, european, italian, french",rooftop,"open air/outdoor, fine dining, rooftop, hotel restaurant","have parking, free wifi, accommodates 50+ people, scenic view, outdoor seating, accommodates 80+ people, accommodates 120+ people, vegan/vegetarian friendly",popularzone:sathon,popularzone:sathon,"free-flow promotion, international fine dining accomodating 50+ people, best selling weekday, top sales hotel restaurants, famous restaurants, time to celebrate, top 10 restaurant bkk (us), celebrate love with us, top 10 restaurant bkk (uk), amex, must visit bkk 2025 for korean tourists, top 10 restaurant bkk (swe), birthday celebration, must visit bkk 2025 for hongkong tourists, top 10 restaurant bkk (india), top 10 restaurant bkk (kr), top 20 restaurants in thailand, celebration redtable awards 2025, redtable 2024 award winner",4.721652312112765,1349417435.0,19537.0,44873.0,129.0,422.0,69069.8385115422,0.00660285611915852,85142.0,1894.0,78.0,4.0,2388.0,0.0
370.0,Orchid Cafe at Sheraton Grande Sukhumvit A Luxury Collection Hotel,60.0,international,Unknown,hotel restaurant,"buffet, hotel restaurant","indoor seating, free wifi, have baby chair",btsroute:bts asok,"btsroute:bts asok, popularzone:asok","hottest promotion, must visit bkk 2025 for korean tourists, time to celebrate, christmas & new year deal, top 20 restaurants in thailand, celebration redtable awards 2025, top 10 restaurant bkk (jpn), come more pay less, big group dining, must visit bkk 2025 for hongkong tourists, buffet mania",4.731985934638655,268068890.0,8416.0,26256.0,267.0,195.0,31852.292062737644,0.03172528517110266,447.0,11.0,0.0,0.0,2953.0,0.0
